,BA,Accuracy,Recall,f1_score,roc_auc,pr_auc,cv,data,train_time,prediction_time,alpha,sigma_mul,T,t,cutoff
0,0.6352822580645161,0.9263803680981595,0.9580645161290322,0.9611650485436892,0.8270161290322581,0.2935744382648337,0,CBF,103.78969216346741,0.0001728534698486328,0.05,1.5,0.5,10,0.06
0,0.6745967741935484,0.9447852760736196,0.9741935483870968,0.9710610932475885,0.8409274193548386,0.36805383755007826,1,CBF,82.10900449752808,0.00015926361083984375,0.05,1.5,0.5,10,0.06
0,0.6336693548387097,0.9233128834355828,0.9548387096774194,0.9594813614262561,0.677016129032258,0.3010698551108303,2,CBF,72.75934886932373,0.00010633468627929688,0.05,1.5,0.5,10,0.06
0,0.6945564516129032,0.9263803680981595,0.9516129032258065,0.9609120521172638,0.7816532258064516,0.33878499035214865,3,CBF,59.24382519721985,0.00010514259338378906,0.05,1.5,0.5,10,0.06
0,0.6584677419354839,0.9141104294478528,0.9419354838709677,0.9542483660130718,0.8808467741935483,0.3651558098960631,4,CBF,63.05550026893616,0.00018453598022460938,0.05,1.5,0.5,10,0.06
0,0.638508064516129,0.9325153374233128,0.964516129032258,0.964516129032258,0.8133064516129032,0.3015691941817465,5,CBF,98.90974736213684,0.000118255615234375,0.05,1.5,0.5,10,0.06
0,0.5711693548387097,0.9171779141104295,0.9548387096774194,0.9563812600969306,0.8231854838709677,0.25323017958418553,6,CBF,84.11041855812073,0.00010991096496582031,0.05,1.5,0.5,10,0.06
0,0.6665322580645161,0.9294478527607362,0.9580645161290322,0.9627228525121555,0.8127016129032257,0.25564275434346423,7,CBF,72.76288914680481,0.00010514259338378906,0.05,1.5,0.5,10,0.06
0,0.7258064516129032,0.9294478527607362,0.9516129032258065,0.9624796084828711,0.8038306451612903,0.37627991514627185,8,CBF,59.965317726135254,0.00011610984802246094,0.05,1.5,0.5,10,0.06
0,0.6993951612903226,0.9355828220858896,0.9612903225806452,0.965964343598055,0.7800403225806452,0.32389777436816325,9,CBF,61.205944299697876,9.870529174804688e-05,0.05,1.5,0.5,10,0.06
0,0.4942307692307692,0.9049429657794676,0.95,0.9500000000000001,0.4685961538461539,0.046571165997963904,0,ChlorineConcentration,694.5699081420898,0.002151966094970703,0.05,1.5,0.5,10,0.06
0,0.474,0.9011406844106464,0.948,0.948,0.34576923076923083,0.03425155491687849,1,ChlorineConcentration,444.3576326370239,0.0020880699157714844,0.05,1.5,0.5,10,0.06
0,0.4932307692307692,0.903041825095057,0.948,0.948948948948949,0.4750576923076923,0.0450375215512545,2,ChlorineConcentration,248.38702178001404,0.0018413066864013672,0.05,1.5,0.5,10,0.06
0,0.4836153846153846,0.9020912547528517,0.948,0.9484742371185593,0.4460192307692307,0.04155303342711183,3,ChlorineConcentration,233.28026223182678,0.0022776126861572266,0.05,1.5,0.5,10,0.06
0,0.4725,0.8982889733840305,0.945,0.9464196294441662,0.41151923076923075,0.03816911742277301,4,ChlorineConcentration,226.92523407936096,0.0019352436065673828,0.05,1.5,0.5,10,0.06
0,0.473,0.8992395437262357,0.946,0.9469469469469469,0.3930769230769231,0.03679714550162835,5,ChlorineConcentration,704.7935626506805,0.0019745826721191406,0.05,1.5,0.5,10,0.06
0,0.4856153846153846,0.905893536121673,0.952,0.9505741387918122,0.44596153846153846,0.04139675606831458,6,ChlorineConcentration,437.27883553504944,0.007172584533691406,0.05,1.5,0.5,10,0.06
0,0.4821153846153846,0.8992395437262357,0.945,0.9468937875751503,0.4324807692307693,0.04047513064807691,7,ChlorineConcentration,247.36396503448486,0.0017952919006347656,0.05,1.5,0.5,10,0.06
0,0.4937307692307692,0.9039923954372624,0.949,0.9494747373686845,0.42609615384615385,0.04127758060104984,8,ChlorineConcentration,224.67400360107422,0.0015795230865478516,0.05,1.5,0.5,10,0.06
0,0.5129615384615385,0.905893536121673,0.949,0.9504256384576866,0.36503846153846153,0.039893985472798904,9,ChlorineConcentration,224.23644828796387,0.0016968250274658203,0.05,1.5,0.5,10,0.06
0,0.5150375939849624,0.85,0.8872180451127819,0.9182879377431907,0.7669172932330828,0.09825546501039946,0,ECG200,24.079139232635498,6.914138793945312e-05,0.05,1.5,0.5,10,0.06
0,0.8157894736842105,0.9071428571428571,0.9172932330827067,0.9494163424124513,0.9452201933404942,0.3467809133222667,1,ECG200,16.888991594314575,6.103515625e-05,0.05,1.5,0.5,10,0.06
0,0.537593984962406,0.8928571428571429,0.9323308270676691,0.9429657794676807,0.80343716433942,0.1613609487297643,2,ECG200,13.414076566696167,6.031990051269531e-05,0.05,1.5,0.5,10,0.06
0,0.6052631578947368,0.8928571428571429,0.924812030075188,0.942528735632184,0.8442534908700323,0.13720873091873734,3,ECG200,16.159269094467163,5.793571472167969e-05,0.05,1.5,0.5,10,0.06
0,0.5225563909774436,0.8642857142857143,0.9022556390977443,0.9266409266409266,0.7540279269602578,0.0970305730711303,4,ECG200,16.553001642227173,5.459785461425781e-05,0.05,1.5,0.5,10,0.06
0,0.6616541353383458,0.8714285714285714,0.8947368421052632,0.9296875000000001,0.7883995703544575,0.1462117916301472,5,ECG200,25.683477640151978,8.749961853027344e-05,0.05,1.5,0.5,10,0.06
0,0.7406015037593985,0.8928571428571429,0.9097744360902256,0.9416342412451362,0.8678839957035446,0.2951591728938321,6,ECG200,14.550028085708618,6.318092346191406e-05,0.05,1.5,0.5,10,0.06
0,0.6917293233082706,0.9285714285714286,0.9548872180451128,0.962121212121212,0.7669172932330827,0.24414005112865483,7,ECG200,16.658103942871094,6.103515625e-05,0.05,1.5,0.5,10,0.06
0,0.8157894736842105,0.9071428571428571,0.9172932330827067,0.9494163424124513,0.8098818474758325,0.19221065103221724,8,ECG200,13.621718645095825,5.459785461425781e-05,0.05,1.5,0.5,10,0.06
